ConstituentID,DisplayName,candidats_scores_wikidata,date_naissance,Lieu_naissance,date_mort,Lieu_mort,Roles 1,Roles 2,Roles 3,Roles 4,Roles 5,Nationalite 1,Nationalite 2,Nationalite 3,Nationalite 4,Nationalite 5,Domaines_activite 1,Domaines_activite 2,Domaines_activite 3,Domaines_activite 4,Domaines_activite 5
87,Benno Adam,"{candidats : [('Q564471', 82.1176470588), ('Q2149066', 48.0588235294)]}",1812,Munich,1892,Kelheim,,,,,,Allemagne,,,,,peinture,,,,
27,A. Abel,"{candidats : [('Q124115', 72.7777777778), ('Q528631', 68.4444444444), ('Q700345', 64.6666666667), ('Q1708455', 64.4444444444), ('Q158174', 64.2222222222), ('Q78571', 62.4444444444), ('Q274614', 60.4444444444), ('Q23907909', 59.6666666667), ('Q134120', 59.5555555556), ('Q716743', 57.3333333333), ('Q27932', 56.2222222222), ('Q2121062', 56.2222222222), ('Q84497993', 56.2222222222), ('Q63781', 55.1111111111), ('Q251818', 54.3333333333), ('Q313572', 51.6666666667), ('Q704494', 51.1111111111), ('Q313421', 50.5555555556), ('Q318391', 50.0), ('Q493829', 49.8888888889), ('Q42188', 49.7777777778), ('Q318433', 48.3333333333), ('Q4666622', 47.4444444444), ('Q168539', 47.0), ('Q741428', 46.5555555556)]}",,,,,,,,,,France,,,,,sculpture,,,,
37,Edmond About,"{candidats : [('Q361004', 77.7777777778), ('Q130356411', 65.0), ('Q381815', 41.7777777778)]}",,,,,,,,,,France,,,,,architecture,,,,
89,Édouard Adam,"{candidats : [('Q3579712', 84.7058823529)]}",1847,Brie-Comte-Robert,1929,,Artiste,,,,,France,,,,,peinture,,,,
96,Julius I Adam aîné,,,,1874,Munich,,,,,,Allemagne,,,,,peinture,,,,
98,Lucie Sébastienne Adam,,,,,,,,,,,France,,,,,sculpture,,,,
115,E. Adams,"{candidats : [('Q20853572', 69.2222222222), ('Q60809', 68.8888888889), ('Q6166572', 64.6666666667), ('Q107186625', 58.6666666667), ('Q12346843', 57.7777777778), ('Q56678849', 51.6666666667), ('Q5538700', 50.8888888889), ('Q111288576', 49.5555555556), ('Q7945469', 48.8888888889), ('Q10308585', 48.8888888889), ('Q63224820', 48.8888888889), ('Q75457152', 48.8888888889), ('Q90227553', 48.8888888889), ('Q102241271', 48.8888888889), ('Q112437020', 48.8888888889), ('Q3376165', 48.6666666667), ('Q5294271', 47.0), ('Q5318147', 47.0), ('Q7416599', 47.0), ('Q8008185', 45.3333333333), ('Q18631113', 45.3333333333), ('Q26924608', 45.3333333333), ('Q55723279', 45.3333333333), ('Q125302958', 45.3333333333), ('Q5321710', 43.6666666667)]}",,,,,,,,,,France,,,,,architecture,,,,
147,Friedrich Adler,"{candidats : [('Q94659', 75.8947368421), ('Q116171625', 47.3684210526), ('Q93503', 46.4210526316), ('Q66113', 46.1052631579), ('Q1281899', 44.7368421053), ('Q16701082', 42.3157894737), ('Q85967', 39.3684210526), ('Q107294500', 36.8421052632), ('Q1531945', 36.6315789474), ('Q215037', 36.3157894737), ('Q104208124', 35.3157894737), ('Q104208057', 34.3157894737), ('Q60815393', 34.2631578947), ('Q27973384', 27.3157894737), ('Q94920804', 26.3157894737), ('Q133249851', 26.3157894737), ('Q94915936', 22.6315789474), ('Q94818209', 19.7368421053), ('Q102351587', 17.6315789474), ('Q132978772', 16.8421052632), ('Q102757165', 15.0)]}",1878,Laupheim,1942,Auschwitz-Birkenau,,,,,,Allemagne,,,,,peinture,arts décoratifs,,,
175,Alfred Agache,"{candidats : [('Q622587', 80.4210526316), ('Q1240579', 51.4736842105)]}",1843,Lille,1915,Cour-Cheverny,Artiste,,,,,France,,,,,peinture,,,,
199,Agostini,"{candidats : [('Q3107925', 72.1818181818), ('Q5676527', 58.6363636364), ('Q57076477', 58.6363636364), ('Q82227398', 58.6363636364), ('Q124218149', 55.8181818182), ('Q569020', 54.5454545455), ('Q3766428', 53.4545454545), ('Q316269', 52.5454545455), ('Q995669', 51.3636363636), ('Q43132912', 51.3636363636), ('Q104161652', 51.3636363636), ('Q57020342', 50.8181818182), ('Q1987210', 50.0), ('Q253450', 48.6363636364), ('Q869006', 48.6363636364), ('Q1891505', 48.6363636364), ('Q3606749', 48.6363636364), ('Q58336851', 48.6363636364), ('Q972466', 48.2727272727), ('Q3855836', 48.2727272727), ('Q1933032', 47.4545454545), ('Q723843', 47.2727272727), ('Q2148760', 47.2727272727), ('Q535521', 46.9090909091), ('Q37673083', 46.7272727273)]}",,,,,,,,,,France,Italie,,,,sculpture,,,,
99,Lucien Claude Edme Adam,,1833,Paris,,,,,,,,France,,,,,peinture,,,,
107,Clémence Adam-Manceau,,,,,,,,,,,France,,,,,peinture,,,,
